age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml
18-21,Male,India,Bachelors degree,Student,,,,intermediate,< 1 years
35-39,Female,United States of America,Masters degree,Student,,,,advance,< 1 years
18-21,Male,India,Bachelors degree,Student,,,,basic,I have never written code
35-39,Male,United States of America,Masters degree,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000",advance,3-5 years
25-29,Male,India,Masters degree,Business Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"5,000-7,499",intermediate,1-2 years
50-54,Male,Thailand,Doctoral degree,Statistician,50-249 employees,I do not know,"10,000-14,999",basic,I have never written code
25-29,Male,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,3-5 years
25-29,Male,Australia,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
18-21,Female,India,Masters degree,Student,,,,basic,< 1 years
30-34,Male,Saudi Arabia,Bachelors degree,Data Scientist,0-49 employees,I do not know,"20,000-24,999",intermediate,I have never written code
22-24,Male,India,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,3-5 years
60-69,Male,Ukraine,Doctoral degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,1-2 years
18-21,Male,United States of America,Bachelors degree,Student,,,,basic,1-2 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,3-5 years
50-54,Male,Germany,Bachelors degree,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,5-10 years
50-54,Male,Germany,Masters degree,Other,250-999 employees,I do not know,"60,000-69,999",advance,10-20 years
18-21,Male,India,Bachelors degree,Student,,,,basic,1-2 years
22-24,Female,Other,Masters degree,Student,,,,advance,< 1 years
50-54,Male,Japan,Bachelors degree,Software Engineer,"> 10,000 employees",I do not know,$0-999,advance,< 1 years
40-44,Male,Other,Bachelors degree,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),"15,000-19,999",basic,1-2 years
22-24,Male,India,Bachelors degree,Student,,,,advance,1-2 years
30-34,Male,France,Doctoral degree,Research Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
40-44,Male,Poland,Doctoral degree,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"20,000-24,999",advance,5-10 years
22-24,Male,India,Bachelors degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",intermediate,< 1 years
25-29,Male,Singapore,Bachelors degree,Business Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,3-5 years
35-39,Male,Netherlands,Bachelors degree,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
30-34,Male,United States of America,Doctoral degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,10-20 years
30-34,Male,France,Doctoral degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
18-21,Female,India,Bachelors degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",basic,3-5 years
30-34,Male,China,Doctoral degree,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",intermediate,5-10 years
30-34,Female,India,Bachelors degree,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"25,000-29,999",advance,5-10 years
18-21,Female,India,Bachelors degree,Student,,,,basic,< 1 years
60-69,Female,Spain,Doctoral degree,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,3-5 years
25-29,Male,Netherlands,Masters degree,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",intermediate,3-5 years
30-34,Female,France,Doctoral degree,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",advance,10-20 years
25-29,Female,Poland,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years
18-21,Male,Algeria,Bachelors degree,Student,,,,advance,< 1 years
25-29,Male,"Iran, Islamic Republic of...",Bachelors degree,Software Engineer,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","10,000-14,999",advance,3-5 years
30-34,Female,Other,Masters degree,Student,,,,advance,5-10 years
18-21,Male,Bangladesh,Bachelors degree,Data Scientist,0-49 employees,I do not know,"3,000-3,999",advance,1-2 years
30-34,Male,Czech Republic,Masters degree,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","50,000-59,999",advance,5-10 years
30-34,Male,Japan,Masters degree,Data Scientist,"> 10,000 employees",I do not know,"70,000-79,999",advance,5-10 years
30-34,Male,Other,Bachelors degree,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"60,000-69,999",intermediate,I have never written code
22-24,Male,India,Bachelors degree,Student,,,,advance,< 1 years
40-44,Male,Spain,Bachelors degree,Software Engineer,0-49 employees,No (we do not use ML methods),"30,000-39,999",basic,1-2 years
25-29,Male,Russia,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
35-39,Female,Russia,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"50,000-59,999",basic,< 1 years
30-34,Male,Russia,Masters degree,Research Scientist,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,< 1 years
25-29,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,10-20 years
35-39,Male,United States of America,Bachelors degree,Other,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"200,000-249,999",intermediate,10-20 years
35-39,Male,United States of America,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years
30-34,Male,Mexico,Masters degree,Research Scientist,"> 10,000 employees",No (we do not use ML methods),"90,000-99,999",basic,5-10 years
50-54,Female,Canada,Doctoral degree,Student,,,,advance,3-5 years
22-24,Female,Other,Bachelors degree,Software Engineer,50-249 employees,No (we do not use ML methods),$0-999,basic,I have never written code
40-44,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"100,000-124,999",advance,20+ years
18-21,Male,Bangladesh,Bachelors degree,Student,,,,advance,< 1 years
40-44,Male,United States of America,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,1-2 years
35-39,Male,Germany,Doctoral degree,Data Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"90,000-99,999",advance,5-10 years
25-29,Female,India,Doctoral degree,Research Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",basic,1-2 years
40-44,Male,India,Bachelors degree,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","40,000-49,999",advance,1-2 years
25-29,Male,Other,Bachelors degree,Software Engineer,0-49 employees,I do not know,$0-999,advance,1-2 years
18-21,Male,Indonesia,Bachelors degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,1-2 years
25-29,Male,Brazil,Masters degree,Data Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years
25-29,Male,Other,Masters degree,Other,50-249 employees,No (we do not use ML methods),"1,000-1,999",basic,I have never written code
18-21,Male,Portugal,Bachelors degree,Student,,,,advance,1-2 years
22-24,Male,United Kingdom of Great Britain and Northern Ireland,Bachelors degree,Other,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,< 1 years
25-29,Male,Germany,Doctoral degree,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,5-10 years
40-44,Male,France,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,3-5 years
40-44,Female,France,Doctoral degree,Statistician,"> 10,000 employees",No (we do not use ML methods),"2,000-2,999",advance,10-20 years
22-24,Male,Peru,Bachelors degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","3,000-3,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,basic,< 1 years
22-24,Male,Hong Kong (S.A.R.),Bachelors degree,Student,,,,basic,1-2 years
25-29,Male,Algeria,Doctoral degree,Software Engineer,"1000-9,999 employees",No (we do not use ML methods),"7,500-9,999",basic,1-2 years
30-34,Male,Israel,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,3-5 years
30-34,Male,Israel,Masters degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","125,000-149,999",advance,3-5 years
50-54,Male,Other,Professional Course,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years
25-29,Male,Sweden,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","4,000-4,999",advance,3-5 years
30-34,Male,Colombia,Professional Course,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,basic,1-2 years
22-24,Male,Pakistan,Masters degree,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,basic,< 1 years
30-34,Male,Russia,Doctoral degree,Research Scientist,"1000-9,999 employees",I do not know,"20,000-24,999",advance,5-10 years
22-24,Male,Nigeria,Bachelors degree,Other,0-49 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years
30-34,Male,Ukraine,Doctoral degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,1-2 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,3-5 years
30-34,Male,Other,Bachelors degree,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),"20,000-24,999",intermediate,3-5 years
50-54,Male,United States of America,Professional Course,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,1-2 years
40-44,Male,Indonesia,Bachelors degree,Other,250-999 employees,I do not know,"70,000-79,999",basic,1-2 years
25-29,Male,Nigeria,Masters degree,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",intermediate,< 1 years
22-24,Male,Turkey,Masters degree,Student,,,,advance,3-5 years
50-54,Male,Poland,Masters degree,Software Engineer,250-999 employees,No (we do not use ML methods),"60,000-69,999",basic,I have never written code
35-39,Male,Israel,Doctoral degree,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,5-10 years
30-34,Male,Russia,Masters degree,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",advance,< 1 years
25-29,Female,United States of America,Bachelors degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,5-10 years
55-59,Male,United States of America,Doctoral degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","250,000-299,999",intermediate,20+ years
35-39,Male,Brazil,Masters degree,Other,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,10-20 years
25-29,Male,Germany,Masters degree,Business Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",basic,< 1 years
45-49,Male,United States of America,Bachelors degree,Student,,,,advance,< 1 years
30-34,Female,Canada,Masters degree,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",advance,5-10 years
25-29,Male,Taiwan,Masters degree,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years
40-44,Male,South Korea,Doctoral degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",advance,3-5 years
30-34,Other,India,Doctoral degree,Statistician,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years
22-24,Male,Japan,Bachelors degree,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","5,000-7,499",advance,3-5 years
50-54,Male,United States of America,Masters degree,Data Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,10-20 years
60-69,Male,India,Masters degree,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,3-5 years
55-59,Male,Japan,Bachelors degree,Student,,,,advance,< 1 years
55-59,Male,Taiwan,Doctoral degree,Student,,,,basic,I have never written code
25-29,Male,China,Professional Course,Student,,,,basic,< 1 years
30-34,Male,India,Masters degree,Business Analyst,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"15,000-19,999",advance,3-5 years
50-54,Male,United States of America,Masters degree,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,3-5 years
35-39,Male,Japan,Professional Course,Other,250-999 employees,No (we do not use ML methods),"2,000-2,999",advance,< 1 years
55-59,Male,Australia,Masters degree,Other,0-49 employees,No (we do not use ML methods),"80,000-89,999",basic,5-10 years
30-34,Male,China,Doctoral degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,< 1 years
45-49,Male,Canada,Professional Course,Software Engineer,"> 10,000 employees",I do not know,"80,000-89,999",intermediate,3-5 years
60-69,Male,Russia,Professional Course,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,10-20 years
55-59,Female,United Kingdom of Great Britain and Northern Ireland,Masters degree,Product/Project Manager,250-999 employees,We are exploring ML methods (and may one day put a model into production),"25,000-29,999",advance,5-10 years
22-24,Male,Turkey,Masters degree,Student,,,,advance,5-10 years
25-29,Female,India,Masters degree,Student,,,,advance,1-2 years
25-29,Male,India,Masters degree,Data Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,< 1 years
30-34,Male,New Zealand,Bachelors degree,Data Analyst,250-999 employees,I do not know,"50,000-59,999",advance,1-2 years
25-29,Male,Czech Republic,Masters degree,Data Scientist,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,3-5 years
30-34,Male,India,Bachelors degree,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",advance,10-20 years
30-34,Male,Russia,Masters degree,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"3,000-3,999",advance,5-10 years
25-29,Male,"Iran, Islamic Republic of...",Masters degree,Research Scientist,0-49 employees,No (we do not use ML methods),"3,000-3,999",advance,3-5 years
18-21,Male,India,Bachelors degree,Student,,,,intermediate,< 1 years
30-34,Female,Kenya,Bachelors degree,Product/Project Manager,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,intermediate,3-5 years
30-34,Male,Czech Republic,Doctoral degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,basic,5-10 years
25-29,Male,Spain,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",intermediate,3-5 years
25-29,Male,Other,Professional Course,Data Analyst,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,< 1 years
25-29,Male,Germany,Doctoral degree,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,10-20 years
50-54,Male,India,Doctoral degree,Research Scientist,250-999 employees,No (we do not use ML methods),"10,000-14,999",basic,5-10 years
18-21,Male,India,Bachelors degree,Student,,,,basic,3-5 years
22-24,Male,India,Bachelors degree,Data Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",advance,3-5 years
22-24,Female,Philippines,Bachelors degree,Business Analyst,0-49 employees,No (we do not use ML methods),"10,000-14,999",basic,< 1 years
35-39,Male,Other,Masters degree,DBA/Database Engineer,50-249 employees,No (we do not use ML methods),$0-999,advance,3-5 years
30-34,Male,Russia,Masters degree,Research Scientist,"> 10,000 employees",No (we do not use ML methods),"20,000-24,999",advance,10-20 years
30-34,Male,Russia,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years
35-39,Male,Hong Kong (S.A.R.),Masters degree,Other,50-249 employees,I do not know,"90,000-99,999",intermediate,5-10 years
18-21,Male,India,Professional Course,Student,,,,basic,< 1 years
35-39,Male,Singapore,Masters degree,Data Scientist,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,3-5 years
22-24,Female,India,Bachelors degree,Data Analyst,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,intermediate,< 1 years
45-49,Male,Japan,Masters degree,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",intermediate,3-5 years
45-49,Male,Algeria,Doctoral degree,Other,"> 10,000 employees",No (we do not use ML methods),"10,000-14,999",advance,< 1 years
35-39,Female,Other,Masters degree,Student,,,,basic,I have never written code
30-34,Male,United States of America,Doctoral degree,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,5-10 years
25-29,Male,India,Bachelors degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","> $500,000",intermediate,5-10 years
22-24,Male,Other,Bachelors degree,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,advance,3-5 years
45-49,Male,Spain,Masters degree,Business Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","80,000-89,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
40-44,Male,Ukraine,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,1-2 years
35-39,Male,Portugal,Masters degree,Product/Project Manager,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",basic,3-5 years
25-29,Male,United States of America,Doctoral degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,5-10 years
40-44,Female,Japan,Doctoral degree,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000",intermediate,10-20 years
22-24,Female,Taiwan,Bachelors degree,Data Analyst,0-49 employees,No (we do not use ML methods),"1,000-1,999",basic,< 1 years
35-39,Male,Colombia,Masters degree,Business Analyst,"1000-9,999 employees",I do not know,"20,000-24,999",basic,< 1 years
30-34,Male,Germany,Bachelors degree,Software Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",basic,< 1 years
25-29,Male,Switzerland,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","7,500-9,999",advance,1-2 years
22-24,Female,Japan,Bachelors degree,Other,"> 10,000 employees",I do not know,"3,000-3,999",basic,I have never written code
30-34,Male,Australia,Masters degree,Student,,,,intermediate,I have never written code
22-24,Male,Bangladesh,Professional Course,Student,,,,intermediate,I have never written code
25-29,Male,India,Professional Course,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,3-5 years
18-21,Male,India,Bachelors degree,Student,,,,advance,< 1 years
40-44,Female,Ukraine,Masters degree,Student,,,,basic,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,advance,1-2 years
25-29,Male,India,Masters degree,Business Analyst,"> 10,000 employees",No (we do not use ML methods),"5,000-7,499",basic,1-2 years
22-24,Male,India,Bachelors degree,Student,,,,advance,3-5 years
22-24,Female,India,Masters degree,Student,,,,basic,< 1 years
25-29,Female,"Iran, Islamic Republic of...",Masters degree,Student,,,,intermediate,< 1 years
35-39,Male,Spain,Masters degree,Data Analyst,"1000-9,999 employees",I do not know,"30,000-39,999",advance,3-5 years
25-29,Male,Other,Masters degree,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,3-5 years
30-34,Male,India,Bachelors degree,Student,,,,basic,I have never written code
40-44,Male,United States of America,Bachelors degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,10-20 years
45-49,Male,Russia,Bachelors degree,Student,,,,advance,< 1 years
22-24,Male,Bangladesh,Bachelors degree,Data Scientist,0-49 employees,I do not know,$0-999,basic,1-2 years
35-39,Male,United States of America,Masters degree,Data Analyst,0-49 employees,No (we do not use ML methods),"150,000-199,999",intermediate,< 1 years
25-29,Male,Singapore,Bachelors degree,Data Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","30,000-39,999",advance,1-2 years
22-24,Male,India,Bachelors degree,Data Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"7,500-9,999",intermediate,3-5 years
30-34,Female,United States of America,Bachelors degree,Product/Project Manager,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"10,000-14,999",intermediate,5-10 years
30-34,Male,India,Bachelors degree,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",basic,I have never written code
30-34,Male,Other,Masters degree,Student,,,,advance,< 1 years
45-49,Female,Spain,Professional Course,Product/Project Manager,"> 10,000 employees",No (we do not use ML methods),"40,000-49,999",basic,I have never written code
25-29,Female,Turkey,Masters degree,Student,,,,basic,1-2 years
30-34,Male,United States of America,Masters degree,Other,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","200,000-249,999",intermediate,5-10 years
35-39,Male,India,Masters degree,Other,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","1,000-1,999",advance,< 1 years
30-34,Male,Germany,Doctoral degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",intermediate,5-10 years
22-24,Male,India,Masters degree,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","20,000-24,999",advance,1-2 years
30-34,Male,Netherlands,Masters degree,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,5-10 years
25-29,Male,Other,Masters degree,Student,,,,advance,< 1 years
35-39,Female,United Kingdom of Great Britain and Northern Ireland,Masters degree,Data Scientist,50-249 employees,We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",advance,1-2 years
22-24,Male,Mexico,Bachelors degree,Business Analyst,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"7,500-9,999",advance,< 1 years
30-34,Female,Kenya,Masters degree,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","5,000-7,499",advance,1-2 years
35-39,Female,Norway,Masters degree,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","70,000-79,999",advance,5-10 years
35-39,Male,Nigeria,Masters degree,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"3,000-3,999",advance,1-2 years
25-29,Male,Colombia,Masters degree,Data Scientist,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,3-5 years
22-24,Male,Other,Masters degree,Student,,,,advance,1-2 years
30-34,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral degree,Research Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years
35-39,Female,South Korea,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"30,000-39,999",advance,1-2 years
50-54,Female,United States of America,Masters degree,Product/Project Manager,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,3-5 years
30-34,Male,Singapore,Masters degree,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",intermediate,5-10 years
35-39,Male,United States of America,Doctoral degree,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years
45-49,Female,South Korea,Masters degree,Other,"1000-9,999 employees",No (we do not use ML methods),"50,000-59,999",basic,I have never written code
35-39,Male,United States of America,Masters degree,Software Engineer,50-249 employees,No (we do not use ML methods),"125,000-149,999",basic,3-5 years
30-34,Male,Singapore,Bachelors degree,Student,,,,advance,3-5 years
22-24,Female,India,Bachelors degree,Student,,,,advance,< 1 years
22-24,Male,United States of America,Bachelors degree,Other,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",advance,5-10 years
18-21,Other,China,Professional Course,Student,,,,advance,< 1 years
35-39,Male,United States of America,Bachelors degree,Business Analyst,0-49 employees,No (we do not use ML methods),"50,000-59,999",basic,3-5 years
25-29,Male,South Korea,Masters degree,Student,,,,advance,1-2 years
25-29,Male,United States of America,Masters degree,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",intermediate,3-5 years
25-29,Male,Taiwan,Masters degree,Data Analyst,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","25,000-29,999",advance,3-5 years
45-49,Male,United States of America,Masters degree,Data Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",intermediate,1-2 years
25-29,Male,United States of America,Professional Course,Student,,,,advance,1-2 years
40-44,Female,South Korea,Doctoral degree,Research Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,5-10 years
25-29,Male,Australia,Bachelors degree,Software Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years
55-59,Male,Taiwan,Bachelors degree,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",advance,20+ years
18-21,Female,India,Professional Course,Student,,,,basic,< 1 years
50-54,Male,India,Professional Course,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",basic,1-2 years
30-34,Male,Other,Professional Course,Data Analyst,250-999 employees,No (we do not use ML methods),"1,000-1,999",intermediate,< 1 years
30-34,Male,Germany,Masters degree,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,5-10 years
30-34,Female,India,Doctoral degree,Other,250-999 employees,No (we do not use ML methods),"100,000-124,999",intermediate,I have never written code
30-34,Male,Other,Masters degree,Data Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,basic,3-5 years
22-24,Male,India,Bachelors degree,Data Engineer,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,1-2 years
25-29,Female,Other,Masters degree,Software Engineer,0-49 employees,No (we do not use ML methods),"10,000-14,999",advance,1-2 years
18-21,Male,India,Bachelors degree,Student,,,,intermediate,< 1 years
25-29,Male,Italy,Masters degree,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,5-10 years
