age_group,gender,country,education,job_title,size_of_company,employer_uses_ml,current_salary,primary_tool_used,years_in_ml,viz_frameworks,ml_frameworks
25-29,Male,India,Masters,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , RandomForest, LightGBM "
40-44,Male,Canada,Bachelors,Product/Project Manager,"> 10,000 employees",I do not know,"90,000-99,999",basic,< 1 years," Ggplot / ggplot2 , Plotly / Plotly Express , Seaborn ",
18-21,Male,Peru,Coursework,Student,,,,advance,< 1 years,,
25-29,Female,Other,Masters,Data Scientist,250-999 employees,No (we do not use ML methods),"50,000-59,999",advance,5-10 years,,"  Scikit-learn , RandomForest, Xgboost , PyTorch "
35-39,Male,Germany,Masters,Software Engineer,"> 10,000 employees",No (we do not use ML methods),"50,000-59,999",advance,1-2 years," Matplotlib , Seaborn ","  TensorFlow , Keras "
60-69,Male,United States of America,Doctoral,Research Scientist,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,20+ years," Matplotlib , Shiny , D3.js , Seaborn , Geoplotlib ","  Scikit-learn ,  TensorFlow , RandomForest, Xgboost , PyTorch "
30-34,Male,United States of America,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"90,000-99,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Altair , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
30-34,Male,United States of America,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Bokeh , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
30-34,Male,Other,Bachelors,Student,,,,advance,< 1 years, Matplotlib ,
30-34,Male,Australia,Masters,Business Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",intermediate,I have never written code,,
35-39,Male,Poland,Coursework,Student,,,,basic,I have never written code,,
55-59,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,20+ years,, PyTorch 
35-39,Male,Australia,Masters,Data Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch , Caret "
30-34,Male,Norway,Masters,Data Scientist,50-249 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
30-34,Male,Spain,Doctoral,Research Scientist,250-999 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,5-10 years, Matplotlib ,  TensorFlow 
35-39,Male,South Africa,Masters,Student,,,,advance,3-5 years, Matplotlib ,"  Scikit-learn , PyTorch "
60-69,Male,Egypt,Masters,Product/Project Manager,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,advance,20+ years, Plotly / Plotly Express ,"  Scikit-learn ,  TensorFlow , RandomForest, Xgboost "
30-34,Female,Egypt,Bachelors,Software Engineer,50-249 employees,No (we do not use ML methods),"15,000-19,999",basic,5-10 years,,
40-44,Male,Australia,Bachelors,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","200,000-249,999",advance,20+ years," Ggplot / ggplot2 , Shiny ", RandomForest
25-29,Male,United States of America,Bachelors,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"60,000-69,999",advance,5-10 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , PyTorch "
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees",I do not know,$0-999,advance,< 1 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Caret "
35-39,Male,Canada,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"50,000-59,999",basic,< 1 years,,
35-39,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,3-5 years," Matplotlib , Shiny , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
18-21,Male,United States of America,Bachelors,Business Analyst,0-49 employees,I do not know,$0-999,advance,< 1 years," Matplotlib , Plotly / Plotly Express ",
25-29,Male,Philippines,Bachelors,Business Analyst,"1000-9,999 employees",I do not know,"> $500,000",basic,I have never written code,,
45-49,Male,South Korea,Bachelors,Product/Project Manager,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"80,000-89,999",advance,10-20 years,,"  TensorFlow , Keras "
55-59,Other,United States of America,Bachelors,Other,50-249 employees,No (we do not use ML methods),$0-999,basic,20+ years,,
40-44,Male,Australia,Bachelors,Data Analyst,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",intermediate,I have never written code,,
18-21,Male,United States of America,Bachelors,Student,,,,advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow "
25-29,Male,Colombia,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","40,000-49,999",advance,5-10 years," Matplotlib , Seaborn ",  Scikit-learn 
25-29,Male,United Kingdom of Great Britain and Northern Ireland,Masters,Software Engineer,50-249 employees,We are exploring ML methods (and may one day put a model into production),"40,000-49,999",advance,1-2 years," Ggplot / ggplot2 , D3.js ","  Scikit-learn , PyTorch "
22-24,Female,Thailand,Coursework,Student,,,,basic,I have never written code,,
25-29,Male,United States of America,Bachelors,Data Scientist,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , PyTorch "
22-24,Male,Sweden,Masters,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
40-44,Male,United States of America,Masters,Data Engineer,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , Caret , LightGBM , Spark MLib "
45-49,Male,India,Masters,Software Engineer,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
45-49,Female,Spain,Masters,Product/Project Manager,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"70,000-79,999",advance,10-20 years, Ggplot / ggplot2 ,
45-49,Male,Nigeria,Masters,Student,,,,basic,< 1 years," Ggplot / ggplot2 , Matplotlib , Shiny , Plotly / Plotly Express , Bokeh , Seaborn ",
45-49,Male,United States of America,Masters,Software Engineer,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),$0-999,advance,1-2 years,,
30-34,Male,Brazil,Coursework,Business Analyst,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , PyTorch , Spark MLib "
25-29,Male,India,Masters,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,< 1 years," Ggplot / ggplot2 , D3.js , Plotly / Plotly Express , Seaborn ","  Scikit-learn , RandomForest, Xgboost , Caret "
35-39,Male,United States of America,Masters,Other,250-999 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,5-10 years," Matplotlib , D3.js ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
40-44,Female,United States of America,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,10-20 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
50-54,Male,Spain,Doctoral,Data Engineer,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"80,000-89,999",advance,20+ years," Ggplot / ggplot2 , Matplotlib , Shiny , D3.js , Plotly / Plotly Express , Seaborn ","  TensorFlow , Keras , Xgboost , PyTorch "
30-34,Male,United States of America,Doctoral,Student,,,,advance,3-5 years," Matplotlib , Seaborn "," Keras , Xgboost , PyTorch , LightGBM "
22-24,Male,India,Bachelors,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","10,000-14,999",intermediate,< 1 years," Matplotlib , Plotly / Plotly Express ","  TensorFlow , Keras "
18-21,Male,Japan,Coursework,Student,,,,advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , LightGBM , Spark MLib "
30-34,Male,Australia,Masters,Other,50-249 employees,We are exploring ML methods (and may one day put a model into production),"70,000-79,999",basic,3-5 years," Ggplot / ggplot2 , Plotly / Plotly Express ", Xgboost 
30-34,Male,India,Doctoral,Software Engineer,0-49 employees,No (we do not use ML methods),"20,000-24,999",advance,5-10 years," Matplotlib , D3.js , Plotly / Plotly Express , Geoplotlib "," PyTorch , Spark MLib "
22-24,Male,Brazil,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,Turkey,Doctoral,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",advance,5-10 years," Ggplot / ggplot2 , Shiny , D3.js , Bokeh , Seaborn , Leaflet / Folium ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch , Caret , LightGBM "
30-34,Male,United States of America,Doctoral,Data Scientist,0-49 employees,We use ML methods for generating insights (but do not put working models into production),"> $500,000",advance,5-10 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn , Keras , PyTorch "
40-44,Male,Japan,Masters,Data Engineer,"1000-9,999 employees",We are exploring ML methods (and may one day put a model into production),"> $500,000",advance,20+ years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
22-24,Male,United States of America,Doctoral,Student,,,,advance,3-5 years, Ggplot / ggplot2 , Xgboost 
40-44,Male,Australia,Coursework,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","125,000-149,999",advance,20+ years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
18-21,Female,Pakistan,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),$0-999,basic,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
40-44,Female,Brazil,Coursework,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","20,000-24,999",advance,10-20 years, Matplotlib ,  Scikit-learn 
50-54,Female,United States of America,Bachelors,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",basic,I have never written code,,
22-24,Male,Japan,Bachelors,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"1,000-1,999",basic,1-2 years,,"  Scikit-learn ,  TensorFlow , Keras , Xgboost , LightGBM "
55-59,Female,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","100,000-124,999",advance,5-10 years, Ggplot / ggplot2 ,  Scikit-learn 
22-24,Male,United States of America,Masters,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
40-44,Male,United States of America,Masters,Data Scientist,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib "," RandomForest, Xgboost , Caret "
18-21,Male,Nigeria,Bachelors,Student,,,,intermediate,< 1 years,,
25-29,Male,United States of America,Bachelors,Data Analyst,0-49 employees,No (we do not use ML methods),"40,000-49,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny , Seaborn ","  Scikit-learn , Caret "
25-29,Male,Canada,Doctoral,Research Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,5-10 years," Matplotlib , Plotly / Plotly Express ","  Scikit-learn , Keras , RandomForest, Xgboost , PyTorch , LightGBM "
18-21,Male,Colombia,Coursework,Student,,,,advance,< 1 years, Matplotlib ,  Scikit-learn 
45-49,Female,United States of America,Masters,Other,250-999 employees,No (we do not use ML methods),"80,000-89,999",intermediate,I have never written code,,
50-54,Male,Australia,Bachelors,Student,,,,advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
22-24,Male,Australia,Bachelors,Business Analyst,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"50,000-59,999",intermediate,< 1 years,,
18-21,Male,China,Coursework,Student,,,,advance,< 1 years, Matplotlib ,"  TensorFlow , PyTorch "
25-29,Male,Republic of Korea,Bachelors,Student,,,,advance,< 1 years, Matplotlib ,  TensorFlow 
25-29,Female,Australia,Masters,Other,"> 10,000 employees",No (we do not use ML methods),"70,000-79,999",basic,5-10 years,,
30-34,Male,Brazil,Coursework,Product/Project Manager,50-249 employees,No (we do not use ML methods),"20,000-24,999",advance,< 1 years, Matplotlib ,"  Scikit-learn , RandomForest"
25-29,Male,Singapore,Doctoral,Other,250-999 employees,We use ML methods for generating insights (but do not put working models into production),"20,000-24,999",advance,5-10 years," Matplotlib , D3.js , Plotly / Plotly Express ","  Scikit-learn , Keras "
45-49,Male,Mexico,Masters,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,< 1 years, Ggplot / ggplot2 ,  TensorFlow 
25-29,Male,Colombia,Bachelors,Research Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,< 1 years, Matplotlib ,"  TensorFlow , PyTorch "
40-44,Male,Australia,Masters,DBA/Database Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",basic,10-20 years,,
40-44,Male,United States of America,Masters,Software Engineer,"> 10,000 employees","We have well established ML methods (i.e., models in production for more than 2 years)","150,000-199,999",advance,10-20 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost , LightGBM "
70+,Male,United States of America,Masters,Data Engineer,0-49 employees,"We have well established ML methods (i.e., models in production for more than 2 years)","300,000-500,000",advance,20+ years,, PyTorch 
30-34,Male,United States of America,Masters,Student,,,,advance,< 1 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn , LightGBM "
22-24,Male,India,Bachelors,Student,,,,advance,1-2 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
50-54,Female,Japan,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"80,000-89,999",advance,20+ years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
25-29,Male,South Korea,Masters,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","3,000-3,999",advance,3-5 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
60-69,Male,United States of America,Doctoral,Research Scientist,250-999 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","150,000-199,999",intermediate,10-20 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
18-21,Female,South Korea,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
22-24,Male,Bangladesh,Bachelors,Student,,,,advance,I have never written code,,
35-39,Male,India,Doctoral,Data Scientist,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","15,000-19,999",advance,< 1 years," Ggplot / ggplot2 , Matplotlib ","  Scikit-learn ,  TensorFlow , Xgboost , Spark MLib "
25-29,Female,United States of America,Doctoral,Research Scientist,"1000-9,999 employees",I do not know,"50,000-59,999",basic,5-10 years," Matplotlib , Plotly / Plotly Express , Seaborn ",  Scikit-learn 
18-21,Male,Brazil,Bachelors,Student,,,,advance,< 1 years," Matplotlib , Plotly / Plotly Express , Bokeh , Seaborn ","  Scikit-learn , Keras , RandomForest, Xgboost "
30-34,Male,Czech Republic,Masters,Software Engineer,50-249 employees,No (we do not use ML methods),"50,000-59,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , Keras , Xgboost , PyTorch "
55-59,Male,Malaysia,Bachelors,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"10,000-14,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny ","  Scikit-learn ,  TensorFlow "
22-24,Male,India,Bachelors,Student,,,,advance,< 1 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,Other,Masters,Software Engineer,0-49 employees,We use ML methods for generating insights (but do not put working models into production),$0-999,basic,< 1 years," Ggplot / ggplot2 , Matplotlib ", PyTorch 
25-29,Male,Morocco,Coursework,Research Scientist,0-49 employees,I do not know,$0-999,advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
30-34,Male,India,Masters,Data Analyst,0-49 employees,We are exploring ML methods (and may one day put a model into production),"20,000-24,999",advance,3-5 years, Ggplot / ggplot2 ,  TensorFlow 
30-34,Male,Japan,Masters,Other,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"7,500-9,999",basic,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
40-44,Male,Australia,Bachelors,Software Engineer,0-49 employees,We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Shiny , D3.js ",
55-59,Male,Russia,Masters,Student,,,,advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost , PyTorch , LightGBM "
25-29,Male,India,Bachelors,Business Analyst,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","25,000-29,999",advance,3-5 years, Matplotlib ,"  Scikit-learn , Xgboost , Caret "
25-29,Female,Saudi Arabia,Bachelors,Student,,,,advance,< 1 years, Matplotlib ,"  Scikit-learn , Keras , Xgboost "
30-34,Male,India,Masters,Student,,,,advance,< 1 years,,
55-59,Male,India,Masters,Business Analyst,250-999 employees,No (we do not use ML methods),"30,000-39,999",advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost "
35-39,Male,United States of America,Masters,Other,0-49 employees,No (we do not use ML methods),"80,000-89,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Caret "
25-29,Male,Canada,Masters,Data Scientist,50-249 employees,No (we do not use ML methods),"20,000-24,999",basic,3-5 years," Matplotlib , Seaborn ","  Scikit-learn , Xgboost "
40-44,Male,Japan,Masters,Other,"> 10,000 employees",I do not know,"60,000-69,999",advance,1-2 years, Matplotlib ,
50-54,Female,Portugal,Doctoral,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"2,000-2,999",advance,3-5 years, Ggplot / ggplot2 ,"  TensorFlow , Keras , RandomForest, Xgboost , Caret "
30-34,Male,Singapore,Doctoral,Student,,,,advance,5-10 years," Ggplot / ggplot2 , Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , PyTorch "
30-34,Male,Portugal,Masters,Software Engineer,250-999 employees,No (we do not use ML methods),"1,000-1,999",basic,1-2 years,,
55-59,Male,Japan,Doctoral,Research Scientist,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",advance,20+ years, Ggplot / ggplot2 ,"  TensorFlow , Keras "
25-29,Male,United States of America,Doctoral,Student,,,,advance,10-20 years, Matplotlib ,
35-39,Male,Japan,Masters,Research Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),$0-999,advance,5-10 years," Shiny , D3.js ",
35-39,Male,Japan,Masters,Other,250-999 employees,I do not know,$0-999,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
22-24,Male,Morocco,Masters,Student,,,,basic,I have never written code,,
25-29,Male,United States of America,Masters,Student,,,,advance,1-2 years, Matplotlib ,
25-29,Female,United States of America,Masters,Research Scientist,0-49 employees,No (we do not use ML methods),"5,000-7,499",advance,1-2 years," Matplotlib , Bokeh , Seaborn ","  Scikit-learn , RandomForest"
45-49,Male,Japan,Coursework,Software Engineer,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years, Matplotlib ,  Scikit-learn 
22-24,Male,Brazil,Masters,Data Scientist,"> 10,000 employees",We use ML methods for generating insights (but do not put working models into production),"15,000-19,999",advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest, Xgboost , LightGBM "
25-29,Male,Canada,Masters,Data Scientist,"1000-9,999 employees","We have well established ML methods (i.e., models in production for more than 2 years)","60,000-69,999",advance,3-5 years," Ggplot / ggplot2 , Matplotlib , Shiny ","  Scikit-learn ,  TensorFlow , Keras , Caret "
50-54,Male,Brazil,Bachelors,Other,0-49 employees,No (we do not use ML methods),"2,000-2,999",advance,I have never written code,,
30-34,Male,India,Bachelors,Software Engineer,"> 10,000 employees",I do not know,"3,000-3,999",intermediate,3-5 years, Plotly / Plotly Express , PyTorch 
22-24,Female,Tunisia,Bachelors,Student,,,,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , PyTorch "
30-34,Male,Peru,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","30,000-39,999",advance,3-5 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras "
18-21,Male,United States of America,Coursework,Student,,,,advance,1-2 years, Ggplot / ggplot2 ,
40-44,Male,Taiwan,Doctoral,Data Scientist,"1000-9,999 employees",We use ML methods for generating insights (but do not put working models into production),"40,000-49,999",intermediate,3-5 years," Ggplot / ggplot2 , Matplotlib , Plotly / Plotly Express ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, Xgboost , LightGBM "
45-49,Male,United States of America,Doctoral,Other,250-999 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",advance,10-20 years, Ggplot / ggplot2 , Caret 
55-59,Male,Poland,Masters,Software Engineer,0-49 employees,No (we do not use ML methods),"40,000-49,999",advance,1-2 years," Matplotlib , Seaborn , Geoplotlib ","  TensorFlow , Keras "
22-24,Male,Nigeria,Coursework,Data Analyst,0-49 employees,No (we do not use ML methods),$0-999,intermediate,< 1 years," Matplotlib , Seaborn ",  Scikit-learn 
30-34,Male,Pakistan,Masters,Student,,,,advance,1-2 years," Ggplot / ggplot2 , Matplotlib , Shiny ","  TensorFlow , Keras "
22-24,Female,United States of America,Masters,Data Analyst,0-49 employees,No (we do not use ML methods),"40,000-49,999",basic,< 1 years, Matplotlib , PyTorch 
35-39,Male,United States of America,Masters,Product/Project Manager,0-49 employees,We are exploring ML methods (and may one day put a model into production),"150,000-199,999",intermediate,10-20 years," Matplotlib , Leaflet / Folium ",
45-49,Male,Japan,Masters,Software Engineer,50-249 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)","60,000-69,999",advance,< 1 years, Matplotlib ,  Scikit-learn 
35-39,Female,United States of America,Masters,Data Analyst,50-249 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",basic,5-10 years," Ggplot / ggplot2 , Shiny , Seaborn ","  Scikit-learn , RandomForest"
30-34,Male,Hong Kong (S.A.R.),Masters,Student,,,,basic,1-2 years," Ggplot / ggplot2 , D3.js , Seaborn , Geoplotlib ","  Scikit-learn ,  TensorFlow , PyTorch "
45-49,Male,United Kingdom of Great Britain and Northern Ireland,Doctoral,Research Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","50,000-59,999",advance,5-10 years, Matplotlib ,"  Scikit-learn ,  TensorFlow , Keras "
70+,Female,United States of America,Masters,Business Analyst,0-49 employees,No (we do not use ML methods),$0-999,basic,3-5 years,,
45-49,Male,United States of America,Masters,Other,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","250,000-299,999",basic,I have never written code,,
18-21,Male,South Korea,Masters,Student,,,,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , Xgboost , PyTorch "
40-44,Male,Australia,Bachelors,Software Engineer,0-49 employees,No (we do not use ML methods),"100,000-124,999",basic,1-2 years,,"  Scikit-learn ,  TensorFlow , Keras "
55-59,Male,United States of America,Doctoral,Other,"> 10,000 employees",We are exploring ML methods (and may one day put a model into production),"100,000-124,999",advance,1-2 years," Matplotlib , Altair , Bokeh , Seaborn , Geoplotlib ",
30-34,Male,United States of America,Masters,Data Scientist,"1000-9,999 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","100,000-124,999",advance,5-10 years," Ggplot / ggplot2 , Shiny ","  Scikit-learn , Keras , RandomForest, Xgboost , Caret "
40-44,Male,Singapore,Masters,Data Scientist,0-49 employees,We are exploring ML methods (and may one day put a model into production),"30,000-39,999",advance,3-5 years," Ggplot / ggplot2 , Shiny "," Keras , RandomForest, Xgboost "
40-44,Male,Republic of Korea,Masters,Data Analyst,"> 10,000 employees",No (we do not use ML methods),"60,000-69,999",basic,< 1 years, Matplotlib ,  Scikit-learn 
35-39,Male,Brazil,Doctoral,Student,,,,advance,3-5 years, Ggplot / ggplot2 , RandomForest
22-24,Male,Other,Masters,Software Engineer,0-49 employees,"We recently started using ML methods (i.e., models in production for less than 2 years)",$0-999,advance,1-2 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , Xgboost "
30-34,Male,Ireland,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","70,000-79,999",advance,3-5 years," Matplotlib , Plotly / Plotly Express , Seaborn ","  Scikit-learn ,  TensorFlow , Keras , RandomForest"
25-29,Male,Nigeria,Masters,Data Scientist,0-49 employees,No (we do not use ML methods),$0-999,advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn , RandomForest"
35-39,Male,Taiwan,Coursework,Research Scientist,0-49 employees,No (we do not use ML methods),"40,000-49,999",intermediate,5-10 years, Matplotlib , Keras 
60-69,Male,United States of America,Coursework,Product/Project Manager,50-249 employees,We are exploring ML methods (and may one day put a model into production),"125,000-149,999",advance,10-20 years," Matplotlib , D3.js ","  Scikit-learn ,  TensorFlow "
55-59,Male,Spain,Masters,Data Scientist,50-249 employees,We are exploring ML methods (and may one day put a model into production),"50,000-59,999",advance,10-20 years," Ggplot / ggplot2 , Matplotlib , Seaborn , Geoplotlib ","  Scikit-learn ,  TensorFlow , Keras , RandomForest, PyTorch , LightGBM , Spark MLib "
45-49,Male,Australia,Masters,Business Analyst,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","90,000-99,999",basic,< 1 years, Matplotlib , PyTorch 
35-39,Male,Other,Masters,Software Engineer,0-49 employees,I do not know,"4,000-4,999",basic,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow , PyTorch "
45-49,Male,Other,Masters,Business Analyst,"1000-9,999 employees",No (we do not use ML methods),"100,000-124,999",advance,< 1 years," Matplotlib , Seaborn ","  Scikit-learn ,  TensorFlow "
30-34,Male,Brazil,Masters,Data Scientist,"> 10,000 employees","We recently started using ML methods (i.e., models in production for less than 2 years)","2,000-2,999",advance,10-20 years," Matplotlib , Plotly / Plotly Express ",  TensorFlow 
